energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,track_name,track_album_release_date,instrumentalness,acousticness,id,type
0.646,115.842,0.645,pop,-8.334,0.074,0.295,0.0427,81,we can't be friends (wait for your love),2024.0,3.04e-05,0.0615,46kspZSY3aKmwQe7O77fCC,audio_features
0.795,89.99,0.646,pop,-3.293,0.267,0.796,0.0976,80,Stereo Hearts (feat. Adam Levine),2011.0,0.0,0.0319,0qOnSQQF0yzuPWsXrQ9paz,audio_features
0.58,120.021,0.782,pop,-6.548,0.108,0.66,0.0407,80,Call Me Maybe,2012.0,2.28e-06,0.0114,20I6sIOMTCkB6w7ryavxtO,audio_features
0.869,126.027,0.874,electronic,-5.996,0.164,0.726,0.0315,80,Give It To Me - Full Vocal Mix,2021.0,0.00238,0.00116,5ZduaRci3iNUiDfJbBfAaf,audio_features
0.733,130.029,0.847,hip-hop,-6.439,0.151,0.202,0.16,80,Glock In My Lap,2020.0,1.04e-05,0.00574,6pcywuOeGGWeOQzdUyti6k,audio_features
0.869,159.805,0.533,electronic,-5.093,0.136,0.425,0.173,80,Don't Let Me Down,2016.0,0.00538,0.156,1i1fxkWeaMmKEB4T7zqbzK,audio_features
0.685,118.02,0.782,electronic,-6.237,0.16,0.603,0.0309,80,Cheerleader (Felix Jaehn Remix) - Radio Edit,2015.0,1.18e-05,0.166,7vFoFDWqTX0mHzLfrF1Cfy,audio_features
0.751,117.948,0.88,electronic,-4.258,0.106,0.884,0.0874,80,Ride It,2019.0,6.43e-05,0.177,2tnVG71enUj33Ic2nFN6kZ,audio_features
0.421,98.224,0.537,latin,-8.72,0.138,0.524,0.0285,80,Si No Estás,2022.0,0.0,0.827,2HafqoJbgXdtjwCOvNEF14,audio_features
0.787,126.062,0.604,electronic,-3.674,0.127,0.301,0.103,80,Titanium (feat. Sia),2012.0,0.15,0.0679,0TDLuuLlV54CkRRUOahJb4,audio_features
0.845,110.056,0.671,pop,-4.93,0.329,0.775,0.048,80,Dance The Night - From Barbie The Album,2023.0,0.0,0.0207,1vYXt7VSjH9JIM5oRRo7vA,audio_features
0.529,75.515,0.551,pop,-10.469,0.178,0.521,0.0517,80,For the First Time,2017.0,0.0093,0.296,2R4AlwtrrkMaRKojcTIzmL,audio_features
0.486,110.964,0.784,hip-hop,-6.497,0.101,0.0894,0.0475,80,Solo,2017.0,0.497,0.0538,4lH6nENd1y81jp7Yt9lTBX,audio_features
0.464,79.503,0.373,latin,-8.606,0.127,0.301,0.256,80,KINTSUGI,2024.0,0.0135,0.86,1qbql17v0Hazo94o5RUyWQ,audio_features
0.663,146.053,0.634,pop,-6.818,0.102,0.6,0.0331,80,the perfect pair,2022.0,0.124,0.433,41P6Tnd8KIHqON0QIydx6a,audio_features
0.463,111.98,0.809,hip-hop,-11.377,0.109,0.364,0.0396,80,Passionfruit,2017.0,0.085,0.256,5mCPDVBb16L4XQwDdbRUpz,audio_features
0.686,79.928,0.647,latin,-5.745,0.528,0.268,0.0413,80,Ojitos Lindos,2022.0,1.34e-06,0.08,3k3NWokhRRkEPhCzPmV8TW,audio_features
0.673,165.921,0.529,hip-hop,-4.711,0.093,0.366,0.175,80,Jimmy Cooks (feat. 21 Savage),2022.0,2.41e-06,0.000307,3F5CgOj3wFlRv51JsHbxhe,audio_features
0.631,111.93,0.706,latin,-5.812,0.227,0.289,0.0366,80,IA,2024.0,0.0,0.656,7lcbpfihslisNObKdHjyLo,audio_features
0.882,102.04,0.742,pop,-2.862,0.206,0.463,0.117,80,No Lie,2018.0,0.0,0.0466,48QmG1dfvMuYLxMPt7KSRA,audio_features
0.77,125.905,0.694,electronic,-5.335,0.118,0.163,0.149,80,In My Mind,2018.0,1.1e-05,0.176,0E9ZjEAyAwOXZ7wJC0PD33,audio_features
0.627,179.642,0.468,electronic,-5.085,0.11,0.159,0.0476,80,Faded,2018.0,7.97e-06,0.0281,698ItKASDavgwZ3WjaWjtz,audio_features
0.803,106.97,0.818,pop,-4.282,0.153,0.632,0.0797,80,24K Magic,2016.0,0.0,0.034,6b8Be6ljOzmkOmFslEb23P,audio_features
